,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
168126,1238167135,31.386,8.257,1.3599999999999998e-22,32.288000000000004,0.188,20.087,0,0,0.7909999999999999,EpEaghEFHG,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tNKZafS26y/EpEaghEFHG.png,11.314
150620,1243600712,30.734,9.047,1.69e-22,3885.31,1.4269999999999998,7724.876465,0,0,0.894,VDttS0qnos,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/d7LAY6M0ak/VDttS0qnos.png,11.314
197828,1251429214,1473.621,14.002,1.0499999999999999e-22,1900.183,0.023,2399.279785,0,0,0.5329999999999999,T0yr0CSLAl,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/HzO0QgMNuV/T0yr0CSLAl.png,5.657
160658,1249440375,1050.42,8.646,5.34e-23,1169.663,0.008,938.2408449999999,0,0,0.8420000000000001,yCjA6Mpt9R,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/bWZKVsoeab/yCjA6Mpt9R.png,11.314
183294,1245667605,1198.978,16.673,1.0499999999999999e-22,1900.183,0.031,2399.279785,0,0,0.662,UQzWW4gCzr,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/njSXTxMJ6Z/UQzWW4gCzr.png,11.314
206897,1243609224,28.43,8.641,1.38e-22,2636.031,1.406,5234.22998,0,0,0.34,4oTBBcQBRd,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/HiJ8R1B6UZ/4oTBBcQBRd.png,11.314
140218,1245803535,1198.978,16.578,1.04e-22,4184.071,0.278,7235.238281,0,0,0.9329999999999999,rXWS0nZO4v,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/D4GbwuWgU4/rXWS0nZO4v.png,5.657
195524,1241466266,34.59,8.729,9.51e-23,63.452,0.875,80.118561,0,0,0.556,Sbio25jKRF,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/uY2xHnTeXz/Sbio25jKRF.png,5.657
184743,1239833640,24.763,40.177,8.919999999999998e-22,3941.578,3.0389999999999997,7868.128906,0,0,0.648,Nwy6vtmZZc,L1,Violin_Mode,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gsr39DaRyd/Nwy6vtmZZc.png,5.657
148898,1242171630,39.789,8.427999999999999,6.35e-23,3803.55,0.392,7560.313477,0,0,0.9009999999999999,MRvEQVoY3z,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/DV3bGziaKM/MRvEQVoY3z.png,5.657
194064,1240757608,24.264,7.568,2.14e-22,3883.3320000000003,0.594,7728.83252,0,0,0.57,kKRNcB96XI,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TBEpmCpuHV/kKRNcB96XI.png,11.314
148622,1240308384,31.386,8.578,1.33e-22,3948.9440000000004,1.22,7853.397461,0,0,0.903,usdx5XjJwW,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/dQw5Q8mNIE/usdx5XjJwW.png,11.314
162821,1240853698,23.511,7.921,2.25e-22,3148.547,0.313,6259.262695,0,0,0.828,DYkFuwYVt0,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LcnwqX9qbS/DYkFuwYVt0.png,11.314
163079,1245257240,39.789,8.329,6.67e-23,2675.389,0.578,5303.992676,0,0,0.826,FHLPluqUcQ,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/hpsvl0BbGQ/FHLPluqUcQ.png,5.657
127990,1243150329,32.173,8.218,8.63e-23,43.297,0.125,48.762321,0,0,0.963,7mbDD3YMc9,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/OCu6hkIZ5n/7mbDD3YMc9.png,5.657
161013,1243259558,36.625,9.112,9.64e-23,3986.938,0.5,7927.089844,0,0,0.84,V6tSN3D8g4,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/YqvS2KG2us/V6tSN3D8g4.png,11.314
105571,1238353669,27.9,7.691,1.8300000000000002e-22,2708.585,0.217,5372.680664,0,0,0.9890000000000001,3uaTldvdVF,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/NaftAJMH64/3uaTldvdVF.png,11.314
159815,1253045050,28.43,8.517999999999999,1.49e-22,33.56,0.5,21.37705,0,0,0.847,Z136nN6jFY,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/KS2zkiyhm3/Z136nN6jFY.png,11.314
193624,1250630950,30.734,7.648,1.17e-22,31.581999999999997,0.188,25.333481,0,0,0.574,vpXbibexX0,L1,None_of_the_Above,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LiU536KlLO/vpXbibexX0.png,11.314
78364,1241642137,45.981,7.599,5.17e-23,3906.758,3.0,7789.865234000001,0,0,0.998,CysqNNz0OI,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Bkd59X1Bmj/CysqNNz0OI.png,45.255
170761,1239835799,45.301,7.621,4.47e-23,3751.475,1.188,7450.338867,0,0,0.7709999999999999,F3h4azR2j7,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/hPm63VjTLx/F3h4azR2j7.png,11.314
130881,1243626977,53.553999999999995,10.552,8.159999999999999e-23,3955.757,1.156,7839.956055,0,0,0.9570000000000001,XcyFtro1wh,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/kLZdmRzl5k/XcyFtro1wh.png,22.627
180825,1243711803,41.57,7.74,7.65e-23,2778.165,0.5820000000000001,5485.362793,0,0,0.685,HKOC2UXvn5,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/y0v3PLcYZI/HKOC2UXvn5.png,22.627
204864,1243264859,44.288000000000004,7.54,8.259999999999999e-23,45.251000000000005,0.875,18.944321,0,0,0.425,2DRh9FN36r,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zHwjGZaYsY/2DRh9FN36r.png,11.314
185352,1243627627,47.183,9.339,7.95e-23,51.728,0.875,31.89852,0,0,0.642,biLkifbCAX,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gaISYa8wqg/biLkifbCAX.png,22.627
197683,1243689993,41.57,8.106,8.7e-23,3991.5440000000003,0.8809999999999999,7917.877441,0,0,0.534,xNpvO4g8Wm,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TOGDsqRMzw/xNpvO4g8Wm.png,22.627
112353,1240875811,51.011,7.575,4.35e-23,50.495,0.5,9.56392,0,0,0.9840000000000001,QLXSUplNl2,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/k5eelpFXqS/QLXSUplNl2.png,22.627
148653,1243131624,44.288000000000004,8.129,6.03e-23,45.251000000000005,0.625,18.944321,0,0,0.902,qytQN8bzw6,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tdYYxAlSnC/qytQN8bzw6.png,22.627
105849,1241468484,50.233000000000004,7.731,5.68e-23,40.025,0.5,34.307109999999994,0,0,0.9890000000000001,F2lGG1Yes6,L1,Air_Compressor,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/0b59BrMEi1/F2lGG1Yes6.png,22.627
93099,1242540250,49.208,16.438,9.599999999999999e-23,2785.797,0.39299999999999996,5533.762695,0,0,0.995,MqRB2gNyBc,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LaREYsZZNR/MqRB2gNyBc.png,5.657
140255,1252942048,39.789,16.339000000000002,1.4100000000000001e-22,73.465,0.5,109.099602,0,0,0.9329999999999999,3JwmOOiTTd,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/mUaieDXQeR/3JwmOOiTTd.png,5.657
185911,1243038984,39.789,7.5120000000000005,5.74e-23,3006.031,0.155,5974.231934,0,0,0.636,tjc5XUCg97,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/0ZCD7lh1ZZ/tjc5XUCg97.png,5.657
63446,1246537822,39.789,28.47,2.26e-22,86.807,1.25,143.024033,0,0,0.9990000000000001,c9Bii3qSs1,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Wa8gNiVDqJ/c9Bii3qSs1.png,5.657
152380,1241406411,142.363,9.908,3.27e-23,238.042,0.151,439.97024500000003,0,0,0.8859999999999999,Z3pN56bYvg,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/d0hA0sOA0w/Z3pN56bYvg.png,5.657
55941,1242793350,49.208,19.177,1.19e-22,73.465,0.875,109.099602,0,0,1.0,MiM7ibefr2,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TUxGgeLt6R/MiM7ibefr2.png,5.657
